Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
1,32,171.0,78.0,29.0,112.0,40.9,201.0
0,36,159.0,59.0,17.0,93.0,40.3,83.0
1,65,204.0,103.0,14.0,93.0,40.1,87.0
0,36,163.0,67.0,27.0,97.0,40.7,141.0
0,32,159.0,63.0,23.0,103.0,40.3,134.0
1,42,180.0,84.0,2.0,80.0,38.6,5.0
1,34,191.0,94.0,29.0,109.0,40.9,201.0
1,34,181.0,78.0,3.0,86.0,38.2,9.0
1,26,191.0,86.0,8.0,83.0,39.3,20.0
1,31,203.0,105.0,29.0,113.0,40.8,221.0
0,64,157.0,63.0,17.0,105.0,40.1,112.0
1,34,185.0,93.0,20.0,99.0,40.3,108.0
1,63,204.0,112.0,29.0,110.0,40.4,257.0
1,44,194.0,87.0,27.0,108.0,40.8,192.0
1,36,190.0,96.0,17.0,90.0,40.3,72.0
1,41,173.0,71.0,28.0,104.0,41.2,169.0
1,73,168.0,77.0,18.0,97.0,40.3,120.0
1,31,186.0,85.0,28.0,106.0,40.8,172.0
1,22,179.0,73.0,10.0,84.0,39.9,21.0
0,34,161.0,56.0,18.0,102.0,40.6,105.0
0,21,168.0,65.0,25.0,109.0,40.3,156.0
0,22,145.0,50.0,3.0,89.0,38.7,13.0
1,33,190.0,97.0,24.0,100.0,40.8,134.0
0,51,157.0,60.0,21.0,103.0,40.4,130.0
1,45,195.0,99.0,2.0,83.0,37.9,7.0
0,33,175.0,67.0,25.0,101.0,41.1,140.0
1,47,198.0,97.0,7.0,91.0,39.3,34.0
0,70,175.0,74.0,9.0,79.0,40.0,34.0
0,77,160.0,63.0,8.0,92.0,39.5,44.0
0,35,172.0,71.0,11.0,85.0,39.9,42.0
0,44,161.0,60.0,2.0,89.0,38.4,9.0
0,71,164.0,60.0,18.0,97.0,40.5,107.0
0,54,174.0,75.0,9.0,87.0,39.6,39.0
0,63,166.0,68.0,26.0,108.0,40.8,178.0
0,50,149.0,55.0,13.0,101.0,40.4,79.0
1,63,200.0,105.0,15.0,102.0,40.3,113.0
0,30,163.0,58.0,22.0,109.0,40.5,143.0
0,33,163.0,57.0,4.0,84.0,38.7,16.0
1,38,189.0,91.0,24.0,100.0,40.5,137.0
1,20,183.0,81.0,17.0,97.0,40.5,71.0
0,67,159.0,62.0,13.0,94.0,40.2,72.0
1,24,188.0,90.0,14.0,103.0,40.1,76.0
1,30,197.0,103.0,27.0,109.0,40.5,187.0
0,35,145.0,49.0,18.0,103.0,40.2,109.0
0,63,176.0,79.0,29.0,111.0,40.5,204.0
0,50,157.0,60.0,6.0,91.0,39.4,29.0
1,33,200.0,101.0,17.0,98.0,40.5,91.0
0,36,163.0,58.0,4.0,84.0,39.0,16.0
1,75,187.0,97.0,7.0,84.0,39.1,36.0
1,56,184.0,93.0,13.0,97.0,39.9,80.0
0,50,182.0,75.0,22.0,111.0,40.6,151.0
1,24,183.0,80.0,27.0,116.0,40.6,195.0
0,32,172.0,72.0,8.0,80.0,39.5,26.0
1,49,193.0,100.0,22.0,99.0,40.5,138.0
0,77,170.0,65.0,3.0,89.0,39.0,15.0
1,67,171.0,75.0,19.0,97.0,40.5,120.0
1,23,182.0,81.0,30.0,112.0,41.0,197.0
1,37,192.0,95.0,21.0,98.0,40.7,114.0
0,35,163.0,59.0,20.0,107.0,40.6,127.0
1,34,185.0,83.0,23.0,97.0,40.8,112.0
0,49,168.0,67.0,21.0,98.0,40.4,116.0
0,69,156.0,61.0,8.0,83.0,39.4,35.0
1,49,194.0,101.0,16.0,103.0,40.4,110.0
0,41,150.0,51.0,22.0,95.0,40.2,117.0
1,42,195.0,95.0,17.0,105.0,40.2,115.0
1,52,188.0,93.0,21.0,107.0,40.6,157.0
0,26,158.0,60.0,12.0,91.0,40.0,54.0
0,79,178.0,80.0,25.0,104.0,40.5,163.0
1,72,172.0,82.0,19.0,107.0,40.5,156.0
1,34,195.0,92.0,10.0,91.0,39.9,42.0
0,60,152.0,50.0,7.0,89.0,39.8,35.0
0,45,158.0,57.0,7.0,91.0,39.3,34.0
1,33,188.0,92.0,19.0,98.0,40.4,99.0
1,56,192.0,97.0,20.0,109.0,40.5,161.0
0,21,153.0,54.0,8.0,94.0,39.8,38.0
0,50,161.0,61.0,18.0,99.0,40.5,104.0
1,60,184.0,86.0,27.0,105.0,41.0,200.0
1,39,162.0,72.0,28.0,108.0,40.7,183.0
1,48,175.0,75.0,19.0,110.0,40.7,140.0
0,38,163.0,65.0,19.0,97.0,40.5,100.0
1,54,190.0,95.0,22.0,110.0,40.3,178.0
1,23,195.0,89.0,27.0,104.0,41.0,150.0
0,72,164.0,68.0,15.0,94.0,40.2,83.0
1,47,179.0,79.0,6.0,74.0,39.3,12.0
0,58,170.0,72.0,8.0,103.0,39.9,49.0
1,41,179.0,85.0,25.0,101.0,40.8,147.0
1,62,193.0,100.0,8.0,90.0,39.4,44.0
0,30,168.0,67.0,29.0,107.0,40.9,179.0
0,32,156.0,56.0,23.0,113.0,40.5,161.0
1,20,178.0,80.0,9.0,84.0,39.4,20.0
0,53,168.0,65.0,21.0,102.0,40.5,127.0
1,51,189.0,95.0,30.0,112.0,41.0,247.0
1,78,177.0,86.0,23.0,100.0,40.8,173.0
0,31,169.0,69.0,1.0,74.0,37.6,3.0
1,74,205.0,112.0,6.0,83.0,39.0,32.0
0,50,177.0,70.0,22.0,106.0,40.9,140.0
0,40,160.0,70.0,8.0,88.0,40.0,34.0
1,41,172.0,75.0,8.0,88.0,39.7,30.0
0,26,161.0,54.0,13.0,94.0,40.3,64.0
1,25,185.0,89.0,27.0,104.0,40.8,152.0
1,31,184.0,89.0,15.0,105.0,39.9,91.0
1,20,186.0,90.0,4.0,83.0,38.8,9.0
0,55,176.0,72.0,5.0,84.0,39.3,20.0
0,52,160.0,59.0,25.0,103.0,40.7,156.0
1,60,208.0,105.0,26.0,110.0,40.6,223.0
1,36,191.0,93.0,16.0,97.0,40.0,83.0
0,53,168.0,69.0,11.0,89.0,40.0,51.0
1,36,193.0,95.0,10.0,97.0,40.0,52.0
0,23,169.0,68.0,25.0,114.0,40.9,170.0
0,36,164.0,57.0,2.0,79.0,37.9,7.0
0,37,166.0,61.0,25.0,103.0,40.7,149.0
1,48,181.0,80.0,27.0,105.0,40.6,181.0
0,39,167.0,71.0,27.0,118.0,41.1,201.0
1,21,205.0,103.0,7.0,88.0,39.6,23.0
1,20,187.0,86.0,23.0,100.0,40.3,109.0
1,57,169.0,72.0,8.0,84.0,39.7,30.0
0,77,160.0,66.0,15.0,94.0,40.5,84.0
1,34,184.0,85.0,19.0,109.0,40.4,128.0
1,52,189.0,92.0,23.0,97.0,40.7,137.0
1,70,194.0,91.0,28.0,103.0,40.8,216.0
0,64,157.0,54.0,12.0,95.0,40.1,68.0
1,73,198.0,101.0,18.0,97.0,40.7,129.0
1,47,195.0,99.0,11.0,88.0,39.8,50.0
0,39,164.0,65.0,5.0,84.0,39.2,19.0
0,25,163.0,60.0,7.0,89.0,39.4,30.0
1,22,165.0,67.0,27.0,119.0,40.4,197.0
1,67,173.0,78.0,4.0,95.0,38.7,24.0
0,64,164.0,67.0,13.0,94.0,40.2,70.0
1,37,200.0,100.0,12.0,91.0,40.1,54.0
1,21,184.0,78.0,19.0,100.0,40.5,88.0
1,40,190.0,97.0,7.0,83.0,39.5,24.0
0,36,174.0,68.0,19.0,108.0,40.1,121.0
0,53,178.0,77.0,11.0,95.0,39.9,57.0
1,41,192.0,99.0,22.0,98.0,40.5,126.0
1,56,184.0,88.0,5.0,89.0,39.5,24.0
0,29,166.0,65.0,11.0,84.0,40.0,41.0
1,28,192.0,92.0,7.0,92.0,39.5,28.0
1,22,191.0,88.0,10.0,90.0,39.7,34.0
1,76,195.0,93.0,23.0,96.0,40.5,161.0
1,73,175.0,76.0,4.0,86.0,38.9,20.0
1,39,191.0,86.0,23.0,97.0,40.6,119.0
0,69,162.0,59.0,11.0,95.0,39.6,63.0
0,46,180.0,75.0,12.0,93.0,40.1,58.0
0,30,163.0,58.0,30.0,115.0,40.6,215.0
0,35,168.0,67.0,17.0,101.0,40.1,96.0
0,60,176.0,71.0,24.0,107.0,41.0,160.0
0,35,150.0,50.0,25.0,104.0,41.0,154.0
1,26,182.0,84.0,5.0,81.0,39.1,11.0
1,21,183.0,83.0,23.0,104.0,40.5,122.0
0,27,158.0,57.0,22.0,101.0,40.4,124.0
0,47,172.0,69.0,21.0,97.0,40.6,113.0
0,27,183.0,79.0,3.0,80.0,38.9,9.0
1,49,181.0,79.0,29.0,108.0,40.7,208.0
1,27,178.0,83.0,19.0,102.0,41.0,101.0
1,46,194.0,91.0,14.0,91.0,40.0,66.0
1,58,197.0,98.0,14.0,102.0,40.1,100.0
1,27,172.0,77.0,13.0,101.0,39.9,65.0
1,29,176.0,76.0,13.0,91.0,39.8,47.0
1,39,197.0,96.0,3.0,78.0,38.6,8.0
0,56,160.0,63.0,4.0,84.0,38.7,17.0
1,32,183.0,83.0,21.0,97.0,40.4,101.0
0,43,169.0,67.0,5.0,80.0,39.0,18.0
1,21,202.0,98.0,21.0,108.0,40.5,131.0
0,76,175.0,72.0,10.0,97.0,39.8,58.0
0,22,162.0,59.0,15.0,104.0,40.0,87.0
1,35,200.0,99.0,24.0,104.0,40.6,152.0
1,45,191.0,95.0,28.0,105.0,41.0,193.0
1,32,176.0,83.0,10.0,99.0,39.7,51.0
1,39,178.0,80.0,25.0,105.0,40.7,157.0
0,44,174.0,75.0,27.0,105.0,40.8,165.0
0,26,174.0,67.0,6.0,84.0,39.4,22.0
0,42,179.0,72.0,17.0,98.0,40.1,91.0
0,24,178.0,78.0,2.0,93.0,38.2,9.0
1,56,186.0,93.0,14.0,91.0,40.0,74.0
1,71,185.0,96.0,5.0,85.0,39.1,26.0
0,37,187.0,84.0,11.0,99.0,39.9,57.0
0,47,162.0,63.0,10.0,81.0,39.9,37.0
1,48,167.0,67.0,29.0,112.0,40.9,217.0
1,52,183.0,86.0,11.0,87.0,40.0,47.0
1,40,192.0,98.0,24.0,99.0,40.4,139.0
0,66,180.0,75.0,4.0,88.0,38.9,19.0
0,37,157.0,59.0,16.0,94.0,40.2,80.0
1,28,193.0,93.0,17.0,94.0,40.4,74.0
0,59,148.0,51.0,10.0,93.0,39.7,54.0
1,24,182.0,78.0,28.0,105.0,40.8,154.0
0,67,162.0,62.0,26.0,93.0,40.7,140.0
1,33,192.0,98.0,10.0,97.0,39.8,52.0
1,34,192.0,99.0,15.0,97.0,40.1,79.0
1,40,181.0,84.0,17.0,99.0,40.4,94.0
1,22,193.0,85.0,28.0,116.0,41.0,202.0
1,66,164.0,75.0,27.0,114.0,40.7,238.0
1,42,182.0,82.0,19.0,103.0,40.2,117.0
1,42,209.0,111.0,7.0,83.0,39.5,26.0
1,64,203.0,97.0,23.0,106.0,40.7,184.0
0,32,162.0,64.0,28.0,105.0,40.5,169.0
1,24,189.0,91.0,1.0,78.0,37.7,2.0
1,26,182.0,83.0,27.0,107.0,41.0,162.0
0,32,159.0,55.0,13.0,92.0,40.2,62.0
1,51,190.0,94.0,21.0,105.0,40.4,150.0
0,40,165.0,59.0,27.0,110.0,41.1,183.0
0,34,179.0,74.0,25.0,101.0,40.9,138.0
1,48,185.0,88.0,15.0,103.0,40.0,99.0
0,21,147.0,45.0,23.0,100.0,40.6,128.0
0,31,175.0,68.0,12.0,91.0,40.3,54.0
1,76,193.0,103.0,18.0,95.0,40.3,127.0
1,20,177.0,79.0,5.0,84.0,38.9,11.0
1,22,167.0,73.0,18.0,94.0,40.7,66.0
1,44,180.0,84.0,11.0,91.0,39.5,49.0
0,49,173.0,67.0,10.0,85.0,39.5,42.0
1,49,179.0,79.0,7.0,95.0,39.5,37.0
0,46,154.0,55.0,3.0,84.0,38.6,12.0
1,75,186.0,84.0,29.0,107.0,41.1,243.0
0,20,167.0,58.0,5.0,76.0,39.3,14.0
0,33,154.0,59.0,28.0,105.0,40.6,171.0
1,68,166.0,75.0,28.0,112.0,40.8,241.0
0,58,173.0,73.0,20.0,104.0,40.6,125.0
1,23,179.0,81.0,26.0,112.0,40.6,171.0
1,79,198.0,96.0,9.0,87.0,39.7,52.0
1,43,201.0,104.0,28.0,103.0,40.7,187.0
0,37,178.0,74.0,24.0,104.0,40.8,141.0
1,75,199.0,103.0,28.0,123.0,40.5,314.0
0,61,173.0,73.0,26.0,102.0,40.8,159.0
0,26,169.0,62.0,9.0,80.0,40.2,30.0
0,23,173.0,72.0,28.0,110.0,40.9,176.0
1,64,178.0,82.0,25.0,111.0,40.8,211.0
0,20,170.0,68.0,8.0,85.0,39.4,29.0
0,22,171.0,69.0,21.0,95.0,40.1,99.0
0,27,169.0,69.0,27.0,116.0,41.1,190.0
1,36,190.0,95.0,7.0,83.0,39.5,22.0
1,59,191.0,92.0,30.0,110.0,41.0,247.0
1,36,206.0,103.0,5.0,84.0,39.0,17.0
0,71,160.0,65.0,8.0,86.0,39.7,37.0
0,21,167.0,67.0,21.0,103.0,40.4,117.0
1,56,188.0,90.0,10.0,91.0,39.7,52.0
0,68,166.0,64.0,2.0,75.0,37.9,7.0
1,75,172.0,74.0,10.0,98.0,39.7,68.0
1,48,176.0,84.0,17.0,89.0,40.4,74.0
1,62,185.0,91.0,24.0,97.0,40.6,154.0
0,53,156.0,60.0,26.0,104.0,40.7,165.0
1,47,187.0,89.0,17.0,97.0,39.9,96.0
1,39,188.0,91.0,13.0,101.0,39.8,77.0
0,54,168.0,63.0,17.0,92.0,40.3,86.0
1,38,201.0,104.0,21.0,101.0,40.6,129.0
0,39,149.0,51.0,26.0,100.0,40.4,151.0
1,51,182.0,81.0,28.0,106.0,40.9,197.0
1,30,193.0,92.0,13.0,104.0,40.3,77.0
0,33,156.0,61.0,5.0,90.0,39.1,22.0
1,47,182.0,82.0,27.0,100.0,40.7,161.0
0,64,155.0,55.0,25.0,114.0,40.8,192.0
0,37,159.0,58.0,8.0,90.0,39.2,37.0
1,41,188.0,91.0,20.0,106.0,40.5,135.0
1,61,179.0,77.0,11.0,90.0,40.0,55.0
1,38,169.0,71.0,10.0,84.0,39.8,29.0
1,21,185.0,88.0,12.0,97.0,39.9,52.0
0,26,173.0,73.0,1.0,69.0,37.9,2.0
1,48,183.0,81.0,21.0,94.0,40.6,106.0
1,71,183.0,80.0,6.0,84.0,39.0,28.0
1,73,199.0,97.0,22.0,107.0,40.9,189.0
0,65,158.0,61.0,26.0,111.0,41.0,190.0
0,57,149.0,56.0,13.0,91.0,39.9,66.0
1,49,185.0,93.0,22.0,99.0,40.5,135.0
1,55,178.0,79.0,4.0,97.0,38.7,23.0
1,20,182.0,74.0,12.0,80.0,39.9,17.0
0,45,163.0,58.0,5.0,84.0,38.9,21.0
0,53,175.0,75.0,13.0,90.0,40.2,60.0
0,46,166.0,58.0,10.0,93.0,39.6,51.0
1,25,198.0,96.0,5.0,85.0,39.1,15.0
1,22,163.0,65.0,9.0,92.0,40.0,29.0
0,60,164.0,66.0,27.0,110.0,40.8,190.0
0,50,168.0,62.0,11.0,89.0,40.1,51.0
0,61,157.0,56.0,17.0,95.0,40.5,95.0
0,69,165.0,62.0,29.0,112.0,40.9,216.0
1,30,195.0,92.0,30.0,101.0,41.0,165.0
0,33,164.0,61.0,20.0,105.0,40.6,122.0
1,21,206.0,105.0,15.0,96.0,40.1,69.0
0,39,152.0,53.0,20.0,99.0,40.9,113.0
1,26,180.0,81.0,7.0,92.0,39.5,26.0
1,44,175.0,80.0,5.0,91.0,39.2,22.0
0,58,144.0,42.0,12.0,96.0,40.1,70.0
1,24,177.0,83.0,4.0,83.0,39.3,9.0
1,35,187.0,91.0,15.0,95.0,40.3,72.0
1,21,189.0,94.0,25.0,111.0,40.6,165.0
1,26,181.0,82.0,29.0,105.0,41.0,165.0
0,30,162.0,57.0,15.0,88.0,40.3,64.0
1,27,182.0,81.0,18.0,105.0,40.5,103.0
0,32,147.0,51.0,4.0,83.0,39.1,15.0
0,30,185.0,84.0,9.0,85.0,39.6,32.0
0,79,160.0,57.0,14.0,85.0,40.0,68.0
0,39,164.0,58.0,25.0,106.0,40.6,159.0
